category,count,ratio_to_head
sky,4587,1.0
florist_shop/indoor,4439,0.9677349029867015
bow_window/indoor,4211,0.9180292129932418
forest/needleleaf,3753,0.8181818181818182
ball_pit,3578,0.7800305210377153
herb_garden,3141,0.6847612818835841
sauna,3108,0.6775670372792675
cottage_garden,3063,0.6677567037279267
botanical_garden,3003,0.6546762589928058
aquarium,2663,0.5805537388271201
berth,2564,0.5589710050141705
discotheque,2549,0.5557008938303902
rainforest,2505,0.5461085676913014
sandbox,2441,0.5321560933071724
barndoor,2419,0.5273599302376281
toyshop,2216,0.48310442555046873
fountain,2062,0.44953128406365817
wave,1972,0.42991061696097665
crosswalk,1953,0.42576847612818836
watering_hole,1882,0.4102899498582952
skyscraper,1873,0.40832788314802704
pond,1837,0.40047961630695444
forest/broadleaf,1813,0.39524743841290605
arch,1800,0.3924133420536298
jail_cell,1737,0.3786788750817528
dock,1727,0.3764988009592326
cavern/indoor,1724,0.37584477872247657
corral,1705,0.37170263788968827
park,1668,0.36363636363636365
bridge,1655,0.3608022672770874
kennel/indoor,1652,0.3601482450403314
beauty_salon,1626,0.3544800523217789
anechoic_chamber,1620,0.35317200784826686
ocean,1604,0.3496838892522346
field/wild,1582,0.3448877261826902
orchard,1568,0.341835622411162
harbor,1559,0.33987355570089384
chicken_coop/indoor,1552,0.33834750381512974
burial_chamber,1533,0.3342053629823414
jewelry_shop,1532,0.3339873555700894
rope_bridge,1509,0.328973185088293
delicatessen,1486,0.3239590146064966
lake/natural,1481,0.3228689775452365
art_school,1457,0.31763679965118813
childs_room,1391,0.30324831044255507
music_studio,1384,0.3017222585567909
beach,1374,0.2995421844342708
shoe_shop,1345,0.2932199694789623
igloo,1320,0.28776978417266186
cemetery,1307,0.28493568781338563
vegetable_garden,1291,0.28144756921735337
alley,1268,0.276433398735557
playroom,1266,0.275997383911053
waiting_room,1257,0.27403531720078483
ice_floe,1218,0.2655330281229562
veterinarians_office,1218,0.2655330281229562
swamp,1202,0.26204490952692394
candy_store,1193,0.2600828428166558
dentists_office,1153,0.2513625463265751
marsh,1125,0.24525833878351863
snowfield,1118,0.24373228689775453
sandbar,1108,0.24155221277523437
windmill,1095,0.23871811641595814
bow_window/outdoor,1066,0.23239590146064967
coast,1058,0.23065184216263354
nursery,1058,0.23065184216263354
creek,1046,0.22803575321560934
volcano,1018,0.22193154567255285
amusement_park,1010,0.22018748637453672
clothing_store,993,0.21648136036625246
pasture,984,0.2145192936559843
escalator/indoor,979,0.21342925659472423
hill,975,0.21255722694571616
booth/indoor,968,0.21103117505995203
lock_chamber,966,0.210595160235448
youth_hostel,964,0.21015914541094396
tower,944,0.20579899716590364
shower,935,0.2038369304556355
butte,931,0.20296490080662744
wine_cellar/bottle_storage,930,0.2027468933943754
barn,915,0.19947678221059517
raceway,914,0.19925877479834314
lighthouse,910,0.19838674514933508
medina,897,0.19555264879005888
waterfall/fan,881,0.19206453019402658
chemistry_lab,881,0.19206453019402658
planetarium/outdoor,876,0.19097449313276652
mountain,872,0.19010246348375845
coffee_shop,871,0.18988445607150642
highway,865,0.18857641159799432
wet_bar,827,0.1802921299324177
archive,821,0.1789840854589056
home_office,815,0.1776760409853935
bayou,797,0.1737519075648572
fire_escape,794,0.17309788532810116
attic,788,0.17178984085458907
mausoleum,786,0.17135382603008503
desert/vegetation,780,0.17004578155657293
catacomb,772,0.1683017222585568
kennel/outdoor,769,0.16764770002180074
bathroom,762,0.16612164813603664
canal/urban,757,0.16503161107477654
wheat_field,741,0.16154349247874428
playground,733,0.15979943318072815
river,721,0.15718334423370395
car_interior/frontseat,714,0.15565729234793982
reception,709,0.15456725528667975
boardwalk,702,0.15304120340091562
slum,702,0.15304120340091562
islet,693,0.1510791366906475
elevator/door,680,0.14824504033137126
physics_laboratory,679,0.14802703291911926
railroad_track,674,0.14693699585785916
hayfield,668,0.14562895138434706
cliff,667,0.14541094397209506
pulpit,665,0.14497492914759103
engine_room,657,0.1432308698495749
desert/sand,650,0.14170481796381076
art_gallery,633,0.1379986919555265
music_store,631,0.13756267713102246
greenhouse/indoor,623,0.13581861783300633
mountain_snowy,622,0.1356006104207543
driveway,621,0.1353826030085023
train_railway,613,0.13363854371048617
stage/indoor,612,0.13342053629823414
gift_shop,586,0.1277523435796817
street,584,0.12731632875517768
staircase,582,0.12688031393067364
raft,576,0.12557226945716154
forest_path,571,0.12448223239590146
stable,567,0.1236102027468934
yard,560,0.12208415086112928
diner/indoor,551,0.12012208415086113
fishpond,539,0.11750599520383694
shopfront,520,0.11336385437104862
oilrig,518,0.11292783954654459
forest_road,515,0.11227381730978853
batters_box,513,0.1118378024852845
hospital_room,509,0.11096577283627643
skatepark,505,0.11009374318726836
pantry,500,0.10900370612600828
pharmacy,498,0.10856769130150425
balcony/interior,496,0.10813167647700021
ticket_booth,495,0.1079136690647482
art_studio,488,0.10638761717898408
boat_deck,487,0.10616960976673206
sea_cliff,484,0.10551558752997602
underwater/coral_reef,481,0.10486156529321997
athletic_field/outdoor,478,0.10420754305646392
closet,469,0.10224547634619577
firing_range/indoor,468,0.10202746893394375
game_room,467,0.10180946152169174
cockpit,465,0.1013734466971877
elevator/interior,453,0.0987573577501635
parking_lot,434,0.09461521691737519
hot_spring,434,0.09461521691737519
trench,432,0.09417920209287116
electrical_substation,428,0.09330717244386309
limousine_interior,423,0.09221713538260301
phone_booth,419,0.09134510573359494
landfill,415,0.09047307608458688
library/indoor,408,0.08894702419882276
water_tower,408,0.08894702419882276
lift_bridge,405,0.08829300196206671
tree_house,401,0.08742097231305865
doorway/outdoor,388,0.08458687595378243
ski_slope,386,0.0841508611292784
jacuzzi/indoor,383,0.08349683889252235
field/cultivated,382,0.08327883148027033
waterfall/plunge,376,0.08197078700675824
casino/indoor,376,0.08197078700675824
hangar/indoor,376,0.08197078700675824
construction_site,374,0.0815347721822542
church/outdoor,371,0.08088074994549815
carrousel,368,0.08022672770874209
atrium/public,358,0.07804665358622193
bar,354,0.07717462393721386
ruin,351,0.07652060170045781
clean_room,348,0.07586657946370176
elevator_shaft,348,0.07586657946370176
waterfall/block,342,0.07455853499018966
iceberg,341,0.07434052757793765
pagoda,340,0.07412252016568563
parlor,332,0.0723784608676695
